Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
,,新北市,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1087242,1102563,1095192,1098408,1100003,1093053,1109639,1135398,1125605,1099472,1159279,1110774,1071131,1116342,1101389,1129598,1146991,1171978,1223867,1265798,1292753,..
,,臺北市,,..,..,..,..,..,..,..,..,..,..,..,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,1442675,1472979,1530735,1505506,1514440,1501916,1488180,1514069,1526228,1550134,1538257,1515793,1564298,1537890,1570778,1545415,1575819,1581899,1568945,1648122,1649348,..
,,桃園市,,8.862657109,-11.33171917,27.42396948,3.813176297,7.494917703,5.045341613,8.386756484,5.258585987,9.214835701,7.47782655,0.790606973,2.999996087,6.400004116,5.400003024,5.59999653,3.699997255,0.400001003,-0.699997526,-1.00000549,4.40000216,0.80000058,-1.200000584,1.800002301,-2.100000759,-0.899996549,3.79999479,4.09999847,1.099999938,1163181,1174654,1209363,1143050,1192731,1163092,1203215,1192419,1179444,1210511,1182721,1146080,1122238,1183732,1238698,1257146,1327963,1307158,1317790,1337361,1378732,..
,,臺中市,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1102701,1137007,1038480,1055944,1015972,1023452,990633,988496,1048174,1105239,1026631,977731,987259,1100346,1067060,1126875,1152523,1169183,1140325,1245350,1279865,..
,,臺南市,,..,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,911488,896601,933736,872189,898270,936057,943051,881412,950332,972699,976116,924950,886924,948383,927231,996434,991990,1007093,1063495,1079199,1086077,..
,,高雄市,,..,..,..,..,..,..,..,..,..,..,..,-4.400001219,0,4.200001428,6.000002164,3.49999949,2.900001743,4.082748636,6.128890476,0.041621462,-3.450098684,0.991359301,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,1029317,1051762,1031569,1003108,974592,972280,1011408,1046729,1030212,1081799,1068765,1052162,1052260,1043941,1085971,1107383,1112287,1145895,1166824,1186204,1219246,..
,,宜蘭縣,,..,..,..,..,..,..,..,..,4.383627921,8.079745337,8.161430797,3.814916166,-0.084012264,5.364016273,10.16499559,7.643793597,11.49382857,6.626368847,5.2132729,5.252274656,3.011646662,2.176873363,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,976550,1022506,972996,877199,846963,943028,874576,994967,931588,909097,1006018,904809,971775,877016,1075706,979013,1071335,1160320,1085846,1098807,1069997,..
,,新竹縣,,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,1.518783949,-5.18978914,-0.735659162,4.34909328,1.570738702,-5.189024352,6.153377063,2.704868826,-1.089933342,-7.156949656,-2.467213776,9.133110566,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,1113042,1167454,1232173,1106603,1127123,1133617,1196515,1304360,1164274,1098234,1289463,1281933,1300116,1372358,1367712,1346768,1389453,1283995,1365150,1616327,1519478,..
,,苗栗縣,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.69999848,-41.80000274,-8.799998794,5.400002783,6.899998416,5.865400751,3.321079698,943047,945975,935836,944066,921405,949888,895950,931906,1030851,1000447,919930,926267,964594,1014144,1012306,1020185,1100084,1008241,1166196,1029485,1045881,..
,,彰化縣,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.07843137,18.64864865,12.12984055,3.961401727,7.962872496,5.882352941,7.307692308,8.203902828,2.547142662,1.185789988,7.046872207,951047,891310,897000,845708,943182,962720,945506,906328,961572,922001,902838,890929,887707,920937,953701,936595,940572,926717,994353,970491,997162,..
,,南投縣,,7.17193773,4.003772435,3.912633165,2.613534422,4.103497375,1.349876632,2.587704456,3.597418591,0.896975217,4.043348367,3.034152368,3.337859224,3.32863134,-2.220677532,4.58135672,5.249311666,4.036732856,2.555546768,5.737912449,3.869712345,3.568944433,-0.39604619,0.413289479,4.029422561,3.980805382,3.834316112,3.878682562,3.966477385,875980,1005079,874344,836262,830936,819394,879780,897891,964953,860836,851992,978331,932725,881743,986881,896557,919551,878760,916199,894368,967369,..
,,雲林縣,,6.321142545,5.114968714,6.207860986,4.890435425,3.942138139,-0.36373574,4.578445403,5.079980799,-0.210653451,5.356699831,1.731485428,-0.144294518,2.011254366,2.973088021,0.051275253,2.498678471,2.301392801,1.357167984,3.295880207,3.887074788,4.345641561,3.441627392,2.093524723,0.526809482,2.402118763,2.667983666,2.349535097,2.093596476,782106,889682,810634,873803,817942,809617,849594,769997,906358,794205,767431,744181,748256,817778,824211,838094,865131,876670,896101,868663,860237,..
,,嘉義縣,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,707349,766905,857615,783819,730084,738385,778574,797895,810323,750236,764933,741766,775017,804668,880625,858253,789406,890742,896217,901022,940780,..
,,屏東縣,,-5.649649519,1.626508741,-3.497335933,7.567568824,-16.75422907,-14.80312631,5.185184972,9.154929219,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784781,-3.82558197,0.307806291,3.14891562,4.37875209,4.223530425,2.062239634,919710,879362,913848,838027,927042,919906,847872,894772,899657,953471,842372,877498,850116,866795,889560,861063,832681,869818,911258,958999,985681,..
,,臺東縣,,..,..,..,..,..,..,..,..,..,..,..,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,702299,725065,780967,760989,774329,737947,755711,695369,753191,860701,699334,805395,674899,733168,796622,799026,820549,746981,797395,889108,884510,..
,,花蓮縣,,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,887914,883537,933625,933484,845923,880361,858345,795376,862688,878356,843646,808632,904472,920602,927400,966607,860613,924706,948501,910090,937898,..
,,澎湖縣,,..,..,..,..,..,-1.9,4.360211005,3.642205768,4.876939315,7.893008136,4.373064814,-1.928767478,-4.931367565,0.50802139,3.551476457,1.078998073,5.095946118,2.563482467,3.454373968,3.601139601,-3.299967,-3.913092936,-6.984728306,1.221840397,3.78473532,2.023261449,3.966274789,4.740148487,634053,723916,831230,732306,760406,739670,874714,778659,853872,789752,902952,851835,986954,828441,887077,922916,932694,792696,1069545,857821,959761,..
,,基隆市,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.19999557,-9.600001396,-7.600001842,-11.7000039,-10.40000049,2.800004651,11.40000541,999088,1058154,1052113,964170,893884,881716,1048399,1052699,948817,999562,976639,1026166,1040931,1018118,955197,1002341,957360,1072433,1074314,1096361,1070748,..
,,新竹市,,5.591821536,3.985827325,5.29560445,6.381702078,4.565258059,-1.965941565,5.652745877,0.626154796,2.841896605,2.341073009,4.444054045,-0.279283599,0.594986931,0.311842724,2.466382675,1.651792828,1.822762115,2.306659454,4.723208902,3.46916681,3.137402452,1.833074304,1.530654776,-0.961873071,3.226971477,2.38475719,1.593397043,3.710419622,1207558,1268541,1395702,1419946,1320717,1344434,1479816,1361016,1478303,1554456,1462204,1426854,1448209,1479675,1439066,1535411,1576797,1427572,1537317,1572296,1426379,..
,,嘉義市,,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,13.43668176,1.133770823,-0.107710429,-2.14317997,1.972065025,1.012513914,4.539456957,10.73530413,9.787711442,13.00922113,11.44338873,11.46403642,12.05944536,6.275691918,0.15836329,0.644238365,1.428210257,3.544671149,1059622,958462,1005451,975877,1015957,927635,832402,984171,966863,899387,898229,836551,842337,925444,1095203,1241161,1157962,1106004,1154411,1090947,1152499,..
