Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
,,工業及服務業,工業及服務業__Industry_and_services,..,..,..,..,..,..,..,..,..,..,8843,10677,11473,12122,13410,13981,15119,16497,18400,21247,24315,26875,29436,31689,33637,35355,36655,38435,39603,40781,41831,41952,41533,42068,42684,43162,43492,44411,44418,42299,44646,45961,46109,46174,47832,49024,49266,50480,52407,52865,73151
,,工業,工業_Industrial,..,..,..,..,..,..,..,..,..,..,8206,9915,10772,11490,12545,13100,14249,15565,17284,19919,22686,25362,27937,30043,31833,33439,34697,36179,37234,38410,39505,39011,38843,39858,40849,41916,42515,43358,43384,40338,43465,44824,45309,45434,46903,48373,48654,49907,52005,57364,80452
,,礦業及土石採取業,礦業及土石採取業_Mining_and_quarrying,8.862657109,..11.33171917,27.42396948,3.813176297,7.494917703,5.045341613,8.386756484,5.258585987,9.214835701,7.47782655,11549,14751,15198,14822,15773,16322,17181,17863,19762,21689,26522,28671,31937,32875,33887,35633,37354,38545,40083,41432,43066,44068,44804,47720,46307,47671,53344,50949,51333,49448,52551,53978,52752,54871,54093,57198,55425,55098,56288,53776,75234
,,製造業,製造業_Manufacturing,..,..,..,..,..,..,..,..,..,..,8035,9556,10456,11122,12153,12678,13961,15335,16989,19431,22014,24430,26942,28826,30752,32494,33839,35408,36438,37746,38922,38420,38444,39558,40666,41868,42403,43240,43297,39525,43152,44603,45238,45448,47018,48713,49162,50678,52948,96137,110408
,,電力及燃氣供應業,電力及燃氣供應業_Electricity_and_gas_supply,..,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,14944,19157,20612,21678,25503,29007,28999,30242,34495,42612,47466,58395,60937,64897,69330,71940,79953,80437,88192,91265,91805,97399,93466,95191,94525,91184,97230,98519,89432,96285,96523,95382,92871,88934,94111,96595,94453,94730,96054,45830,58082
,,用水供應及污染整治業,用水供應及污染整治業_Water_supply_and_remediation_activities,..,..,..,..,..,..,..,..,..,..,9103,10800,12191,12678,13102,13977,15356,15752,20688,23022,28249,29916,31017,33927,38065,39072,39304,40281,41708,44729,44341,46002,43917,43954,42880,47647,47251,44399,44521,44042,45106,45828,43675,44143,44919,44357,43216,44286,45319,44833,59044
,,營建工程業,營建工程業_Construction,..,..,..,..,..,..,..,..,4.383627921,8.079745337,8309,10764,11415,12718,14122,14763,15037,16045,17879,21433,24719,28193,30825,33638,34379,35278,35817,37029,37886,38070,38897,37746,36844,37214,37916,38450,39168,40310,40754,40870,41598,42716,42683,42540,43251,43346,42839,42506,43645,54245,75172
,,服務業,服務業_Services,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,..0.028412103,..2.018251517,6.934147755,..4.506124802,10.22276346,10174,12186,12803,13330,15115,15716,16871,18338,20441,23439,26751,29032,31437,33752,35802,37433,38714,40787,42022,43166,44143,44796,44105,44152,44386,44280,44349,45320,45296,43867,45600,46881,46747,46756,48558,49526,49730,50912,52708,51328,67007
,,批發及零售業,批發及零售業_Wholesale_and_retail_trade,..,..,..,..,..,..,..,..,..,..,9274,11488,11728,12232,14419,14413,15787,17196,19024,21021,24692,26435,28152,30548,32089,34149,34905,36406,37696,38695,39541,39775,39152,39610,39819,39546,39380,39463,39956,40081,41766,42562,41815,42249,44377,45422,45345,47260,49798,55588,68619
,,運輸及倉儲業,運輸及倉儲業_Transportation_and_storage,..,..,..,..,..,..,..,..,..,..,10586,12697,13958,14239,15184,16527,17470,18390,20174,23369,26376,29898,32272,34769,36712,39260,40985,42717,44076,45074,45951,48019,46512,45936,46884,48516,48340,49095,49585,47911,49012,50333,50364,50021,50291,51579,52540,53314,54994,34686,42472
,,住宿及餐飲業,住宿及餐飲業_Accommodation_and_food_service_activities,7.17193773,4.003772435,3.912633165,2.613534422,4.103497375,1.349876632,2.587704456,3.597418591,0.896975217,4.043348367,7358,8501,8730,9494,10631,10619,10525,11151,12142,13491,15448,17049,18209,18950,20373,22317,22198,23528,24040,25117,26060,25973,25687,24951,24812,25121,24960,25476,26699,27106,27788,29715,30072,30459,31676,32508,32498,33406,34077,72144,107054
