Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
,,總計_Total,總計_Total,..,..,..,..,..,..,..,..,1.67,1.27,1.23,1.36,2.14,2.71,2.45,2.91,2.66,1.97,1.69,1.57,1.67,1.51,1.51,1.45,1.56,1.79,2.6,2.72,2.69,2.92,2.99,4.57,5.17,4.99,4.44,4.13,3.91,3.91,4.14,5.85,5.21,4.39,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73
,,男_Male,男_Male,..,..,..,..,..,..,..,..,1.57,1.15,1.11,1.21,2.08,2.68,2.44,2.9,2.75,1.96,1.7,1.57,1.68,1.5,1.47,1.36,1.51,1.79,2.72,2.94,2.93,3.23,3.36,5.16,5.91,5.51,4.83,4.31,4.05,4.05,4.39,6.53,5.8,4.71,4.49,4.47,4.27,4.05,4.19,4,3.89,3.85
,,女_Female,女_Female,8.862657109,..11.33171917,27.42396948,3.813176297,7.494917703,5.045341613,8.386756484,5.258585987,1.86,1.53,1.47,1.65,2.25,2.76,2.46,2.92,2.53,1.97,1.68,1.56,1.64,1.53,1.57,1.59,1.65,1.8,2.42,2.37,2.33,2.46,2.44,3.71,4.1,4.25,3.89,3.88,3.71,3.72,3.83,4.96,4.45,3.96,3.92,3.8,3.56,3.44,3.57,3.45,3.48,3.58
,,age_15-19,age_15-19,..,..,..,..,..,..,..,..,3.95,3.12,3.21,3.75,5.18,6.6,5.85,7.53,6.76,5.57,5.02,5.03,5.68,4.93,4.98,4.78,4.96,5.59,7.47,7.35,8.26,9.03,9.04,13.64,14.59,13.84,13,11.97,11.46,11.13,11.42,13.55,10.93,11.22,9.8,9.65,8.78,8.63,8.94,8.77,8.46,9.21
,,age_20-24,age_20-24,..,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,3.77,3.36,3.13,3.5,5.45,6.49,6.24,7.12,6.79,5.39,4.78,4.39,4.79,4.41,4.7,4.6,4.67,5.16,6.72,6.76,7.01,6.83,6.89,9.65,11.31,10.95,10.44,10.33,10.1,10.56,11.89,14.67,13.51,12.71,13.17,13.75,13.25,12.59,12.62,12.38,11.98,12.27
,,age_25-29,age_25-29,..,..,..,..,..,..,..,..,1.54,1.02,1.09,1.12,2.02,2.65,2.65,3.05,2.95,2.13,1.95,1.88,1.92,1.91,2,1.94,2.19,2.55,3.65,3.68,3.61,3.82,3.77,5.46,6.46,6.26,5.69,5.75,5.92,5.87,6.38,8.77,8.15,7.11,7.08,7.11,6.84,6.55,6.76,6.58,6.37,6.57
,,age_30-34,age_30-34,..,..,..,..,..,..,..,..,0.64,0.42,0.44,0.5,0.98,1.44,1.3,1.76,1.5,1.04,0.94,0.89,0.99,0.91,1,0.96,1.19,1.36,2.08,2.15,2.06,2.42,2.59,4.19,4.64,4.16,3.86,3.63,3.8,3.87,3.89,5.82,5.19,4.32,4.34,4.2,4.04,3.97,3.79,3.53,3.39,3.22
,,age_35-39,age_35-39,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,..0.028412103,..2.018251517,6.934147755,0.38,0.23,0.31,0.4,0.88,1.18,1,1.21,1.22,0.84,0.7,0.68,0.84,0.76,0.64,0.68,0.74,1,1.65,1.84,1.76,2.08,2.24,3.72,3.87,3.61,3.12,2.84,2.86,2.76,2.97,4.64,4.1,3.32,3.37,3.37,3.26,3.14,3.41,3.26,3.37,3.18
,,age_40-44,age_40-44,..,..,..,..,..,..,..,..,0.43,0.24,0.19,0.35,0.64,0.9,0.71,1.13,1.05,0.62,0.56,0.5,0.64,0.62,0.53,0.53,0.65,0.82,1.49,1.63,1.6,1.87,1.98,3.36,4,3.85,3.18,2.81,2.4,2.81,2.63,4.23,3.77,3.02,2.76,2.51,2.58,2.37,2.66,2.63,2.56,2.78
,,age_45-49,age_45-49,..,..,..,..,..,..,..,..,0.43,0.32,0.29,0.34,0.56,0.99,0.72,0.91,1.01,0.65,0.57,0.55,0.64,0.49,0.52,0.48,0.6,0.78,1.37,1.61,1.64,1.89,1.93,3.34,3.84,3.97,3.22,2.89,2.31,2.47,2.76,4.27,3.89,2.99,2.55,2.59,2.37,2.36,2.51,2.26,2.2,1.99
